year,Intensity,H1N1_fraction,H3N2_fraction,H2N2_fraction,Naive_fraction
1977,0.122847743,0.013953488,0.986046512,0,0
1978,1.035333359,0.161307054,0.838692946,0,0
1979,0.864355706,0.999123576,0.000876424,0,0
1980,0.024487385,0.540540541,0.459459459,0,0
1981,0.897890478,0.21875,0.78125,0,0
1982,0.097140056,1,0,0,0
1983,0.84827817,0.115546218,0.884453782,0,0
1984,0.710331629,0.930579965,0.069420035,0,0
1985,1.296096572,0.001010611,0.998989389,0,0
1986,0.27633407,0.003597122,0.996402878,0,0
1987,1.00809945,0.99773858,0.00226142,0,0
1988,0.744136393,0.085949563,0.914050437,0,0
1989,1.288287171,0.861550328,0.138449672,0,0
1990,1.340344123,0.013577332,0.986422668,0,0
1991,0.139585688,0.397777778,0.602222222,0,0
1992,1.541175665,0.178541208,0.821458792,0,0
1993,0.347106159,0.104928458,0.895071542,0,0
1994,1.335150973,0.005219454,0.994780546,0,0
1995,0.696574315,0.021520305,0.978479695,0,0
1996,1.1331688,0.588220614,0.411779386,0,0
1997,1.370052829,0,1,0,0
1998,1.342647365,0.00184786,0.99815214,0,0
1999,1.134820263,0.011614402,0.988385598,0,0
2000,1.174225812,0.040299664,0.959700336,0,0
2001,0.543898341,0.971309579,0.028690421,0,0
2002,0.964796235,0.017381738,0.982618262,0,0
2003,0.42526304,0.703931204,0.296068796,0,0
2004,1.565860228,0.000278125,0.999721875,0,0
2005,0.900477995,0.003174073,0.996825927,0,0
2006,0.760682543,0.096669513,0.903330487,0,0
2007,0.755563242,0.620327464,0.379672536,0,0
2008,1.097917275,0.252762579,0.747237421,0,0
2009,0.862334924,0.888932963,0.111067037,0,0
2009.5,2.5,0.963853705,0.036146295,0,0
2010,0.310611826,0.967690754,0.032309246,0,0
2011,1.277390755,0.381057194,0.618942806,0,0
2012,0.669981212,0.254360812,0.745639188,0,0
2013,1.450024038,0.057948359,0.942051641,0,0
2014,1.082373667,0.869202877,0.130797123,0,0
2015,1.290787406,0.005091423,0.994908577,0,0
2016,0.503294329,0.780162618,0.219837382,0,0
2017,0.879233665,0.031380122,0.968619878,0,0
2018,2.104995176,0.150524994,0.849475006,0,0
1976,1,0,1,0,0
1975,1,0,1,0,0
1974,1,0,1,0,0
1973,1,0,1,0,0
1972,1,0,1,0,0
1971,1,0,1,0,0
1970,1,0,1,0,0
1969,1,0,1,0,0
1968,1,0,0,1,0
1967,1,0,0,1,0
1966,1,0,0,1,0
1965,1,0,0,1,0
1964,1,0,0,1,0
1963,1,0,0,1,0
1962,1,0,0,1,0
1961,1,0,0,1,0
1960,1,0,0,1,0
1959,1,0,0,1,0
1958,1,0,0,1,0
1957,1,1,0,0,0
1956,1,1,0,0,0
1955,1,1,0,0,0
1954,1,1,0,0,0
1953,1,1,0,0,0
1952,1,1,0,0,0
1951,1,1,0,0,0
1950,1,1,0,0,0
1949,1,1,0,0,0
1948,1,1,0,0,0
1947,1,1,0,0,0
1946,1,1,0,0,0
1945,1,1,0,0,0
1944,1,1,0,0,0
1943,1,1,0,0,0
1942,1,1,0,0,0
1941,1,1,0,0,0
1940,1,1,0,0,0
1939,1,1,0,0,0
1938,1,1,0,0,0
1937,1,1,0,0,0
1936,1,1,0,0,0
1935,1,1,0,0,0
1934,1,1,0,0,0
1933,1,1,0,0,0
1932,1,1,0,0,0
1931,1,1,0,0,0
1930,1,1,0,0,0
1929,1,1,0,0,0
1928,1,1,0,0,0
1927,1,1,0,0,0
1926,1,1,0,0,0
1925,1,1,0,0,0
1924,1,1,0,0,0
1923,1,1,0,0,0
1922,1,1,0,0,0
1921,1,1,0,0,0
1920,1,1,0,0,0
1919,1,1,0,0,0
1918,1,1,0,0,0
