season_float,H1N1_fraction,H3N2_fraction,H2N2_fraction,Mean_ILI,Fraction_A,Intensity
1918,1,0,0,,,1
1919,1,0,0,,,1
1920,1,0,0,,,1
1921,1,0,0,,,1
1922,1,0,0,,,1
1923,1,0,0,,,1
1924,1,0,0,,,1
1925,1,0,0,,,1
1926,1,0,0,,,1
1927,1,0,0,,,1
1928,1,0,0,,,1
1929,1,0,0,,,1
1930,1,0,0,,,1
1931,1,0,0,,,1
1932,1,0,0,,,1
1933,1,0,0,,,1
1934,1,0,0,,,1
1935,1,0,0,,,1
1936,1,0,0,,,1
1937,1,0,0,,,1
1938,1,0,0,,,1
1939,1,0,0,,,1
1940,1,0,0,,,1
1941,1,0,0,,,1
1942,1,0,0,,,1
1943,1,0,0,,,1
1944,1,0,0,,,1
1945,1,0,0,,,1
1946,1,0,0,,,1
1947,1,0,0,,,1
1948,1,0,0,,,1
1949,1,0,0,,,1
1950,1,0,0,,,1
1951,1,0,0,,,1
1952,1,0,0,,,1
1953,1,0,0,,,1
1954,1,0,0,,,1
1955,1,0,0,,,1
1956,1,0,0,,,1
1957,0,0,1,,,1
1958,0,0,1,,,1
1959,0,0,1,,,1
1960,0,0,1,,,1
1961,0,0,1,,,1
1962,0,0,1,,,1
1963,0,0,1,,,1
1964,0,0,1,,,1
1965,0,0,1,,,1
1966,0,0,1,,,1
1967,0,0,1,,,1
1968,0,1,0,,,1
1969,0,1,0,,,1
1970,0,1,0,,,1
1971,0,1,0,,,1
1972,0,1,0,,,1
1973,0,1,0,,,1
1974,0,1,0,,,1
1975,0,1,0,,,1
1976,0,1,0,,,1
1977,0.013953488,0.986046512,0,0.01720972,0.012215909,0.125446087
1978,0.161307054,0.838692946,0,0.01720972,0.102952956,1.05723163
1979,0.999123576,0.000876424,0,0.01720972,0.085951036,0.882637639
1980,0.540540541,0.459459459,0,0.01720972,0.002435012,0.025005316
1981,0.21875,0.78125,0,0.01720972,0.089285714,0.916881702
1982,1,0,0,0.01720972,0.009659551,0.099194659
1983,0.115546218,0.884453782,0,0.01720972,0.084352295,0.866220048
1984,0.930579965,0.069420035,0,0.01720972,0.07063497,0.725355808
1985,0.001010611,0.998989389,0,0.01720972,0.1288831,1.323510229
1986,0.003597122,0.996402878,0,0.01720972,0.027478502,0.282178795
1987,0.99773858,0.00226142,0,0.01720972,0.100244831,1.029421698
1988,0.085949563,0.914050437,0,0.01720972,0.073996496,0.759875575
1989,0.861550328,0.138449672,0,0.01720972,0.088326464,0.907031088
1990,0.013577332,0.986422668,0,0.01720972,0.113099212,1.1614243
1991,0.397777778,0.602222222,0,0.01720972,0.013880321,0.142538056
1992,0.178541208,0.821458792,0,0.01720972,0.153253625,1.573772974
1993,0.104928458,0.895071542,0,0.01720972,0.034719731,0.35653952
1994,0.005219454,0.994780546,0,0.01720972,0.118408855,1.215949417
1995,0.021520305,0.978479695,0,0.01720972,0.074434828,0.764376832
1996,0.588220614,0.411779386,0,0.01720972,0.106535148,1.094017436
1997,0,1,0,0.01720972,0.12880586,1.322717042
1998,0.00184786,0.99815214,0,0.015254134,0.129471495,1.178471969
1999,0.011614402,0.988385598,0,0.018850623,0.110958378,1.248082649
2000,0.040299664,0.959700336,0,0.013189691,0.131788337,1.037215807
2001,0.971309579,0.028690421,0,0.012504658,0.054629142,0.407618354
2002,0.017381738,0.982618262,0,0.013355462,0.116689158,0.929922902
2003,0.703931204,0.296068796,0,0.013256646,0.059429551,0.470103676
2004,0.000278125,0.999721875,0,0.016509045,0.162877146,1.604499739
2005,0.003174073,0.996825927,0,0.017626196,0.098477946,1.03575042
2006,0.096669513,0.903330487,0,0.01570195,0.094564226,0.886008745
2007,0.620327464,0.379672536,0,0.015577569,0.095340048,0.886201717
2008,0,1,0,0.017438989,0.114773446,1.194318806
2009,1,0,0,0.018656343,0.09433192,1.050129158
2010,1,0,0,0.014368436,0.043278334,0.371054393
2011,0.443298969,0.556701031,0,0.017659597,0.139549716,1.470507633
2012,0.041176471,0.958823529,0,0.014471418,0.094128536,0.812811659
2013,0.007874016,0.992125984,0,0.019053913,0.142743167,1.622919732
2014,0.916913947,0.083086053,0,0.017377078,0.127421025,1.32122074
2015,0,1,0,0.019748831,0.130580368,1.538780976
2016,1,0,0,0.016518974,0.058185231,0.573526356
2017,0.007142857,0.992857143,0,0.019535525,0.086794759,1.011756789
2009.5,1,0,0,0.030723485,0.272504186,4.995755665
