Age,vaccov_age,vaccov_subj
0,74.1,74.1
1,74.1,74.1
2,74.1,74.1
3,74.1,74.1
4,74.1,74.1
5,63.7,68.484
6,63.7,63.7
7,63.7,63.7
8,63.7,63.7
9,63.7,63.7
10,63.7,63.7
11,63.7,63.7
12,63.7,63.7
13,53.3,58.084
14,53.3,53.3
15,53.3,53.3
16,53.3,53.3
17,53.3,53.3
18,41.3,46.82
19,41.3,41.3
20,41.3,41.3
21,41.3,41.3
22,41.3,41.3
23,41.3,41.3
24,41.3,41.3
25,41.3,41.3
26,41.3,41.3
27,41.3,41.3
28,41.3,41.3
29,41.3,41.3
30,41.3,41.3
31,41.3,41.3
32,41.3,41.3
33,41.3,41.3
34,41.3,41.3
35,41.3,41.3
36,41.3,41.3
37,41.3,41.3
38,41.3,41.3
39,41.3,41.3
40,41.3,41.3
41,41.3,41.3
42,41.3,41.3
43,41.3,41.3
44,41.3,41.3
45,41.3,41.3
46,41.3,41.3
47,41.3,41.3
48,41.3,41.3
49,41.3,41.3
50,50.9,46.484
51,50.9,50.9
52,50.9,50.9
53,50.9,50.9
54,50.9,50.9
55,50.9,50.9
56,50.9,50.9
57,50.9,50.9
58,50.9,50.9
59,50.9,50.9
60,50.9,50.9
61,50.9,50.9
62,50.9,50.9
63,50.9,50.9
64,50.9,50.9
65,72.3,62.456
66,72.3,72.3
67,72.3,72.3
68,72.3,72.3
69,72.3,72.3
70,72.3,72.3
71,72.3,72.3
72,72.3,72.3
73,72.3,72.3
74,72.3,72.3
75,72.3,72.3
76,72.3,72.3
77,72.3,72.3
78,72.3,72.3
79,72.3,72.3
80,72.3,72.3
81,72.3,72.3
82,72.3,72.3
83,72.3,72.3
84,72.3,72.3
85,72.3,72.3
86,72.3,72.3
87,72.3,72.3
88,72.3,72.3
89,72.3,72.3
90,72.3,72.3
91,72.3,72.3
92,72.3,72.3
93,72.3,72.3
94,72.3,72.3
95,72.3,72.3
96,72.3,72.3
97,72.3,72.3
98,72.3,72.3
99,72.3,72.3
100,72.3,72.3
